edad,sexo,año,total,rango_edad
43,hombre,2006,36.855,43-54
43,hombre,2005,30.906,43-54
43,hombre,2004,26.474,43-54
43,mujer,2006,30.018,43-54
43,mujer,2005,26.223,43-54
43,mujer,2004,22.078,43-54
44,hombre,2006,303.141,43-54
44,hombre,2005,305.973,43-54
44,hombre,2004,299.05,43-54
44,mujer,2006,302.268,43-54
44,mujer,2005,305.55,43-54
44,mujer,2004,298.379,43-54
44,hombre,2006,32.564,43-54
44,hombre,2005,30.92,43-54
44,hombre,2004,23.052,43-54
44,mujer,2006,27.701,43-54
44,mujer,2005,25.414,43-54
44,mujer,2004,20.086,43-54
45,hombre,2006,306.216,43-54
45,hombre,2005,299.311,43-54
45,hombre,2004,293.616,43-54
45,mujer,2006,306.02,43-54
45,mujer,2005,298.84,43-54
45,mujer,2004,293.662,43-54
45,hombre,2006,32.432,43-54
45,hombre,2005,27.2,43-54
45,hombre,2004,21.957,43-54
45,mujer,2006,26.74,43-54
45,mujer,2005,23.335,43-54
45,mujer,2004,18.877,43-54
46,hombre,2006,299.479,43-54
46,hombre,2005,293.633,43-54
46,hombre,2004,287.764,43-54
46,mujer,2006,299.272,43-54
46,mujer,2005,294.047,43-54
46,mujer,2004,288.39,43-54
46,hombre,2006,28.602,43-54
46,hombre,2005,25.865,43-54
46,hombre,2004,19.85,43-54
46,mujer,2006,24.707,43-54
46,mujer,2005,22.082,43-54
46,mujer,2004,17.964,43-54
47,hombre,2006,293.752,43-54
47,hombre,2005,287.894,43-54
47,hombre,2004,268.731,43-54
47,mujer,2006,294.461,43-54
47,mujer,2005,288.712,43-54
47,mujer,2004,269.569,43-54
47,hombre,2006,27.072,43-54
47,hombre,2005,23.347,43-54
47,hombre,2004,18.498,43-54
47,mujer,2006,23.598,43-54
47,mujer,2005,20.818,43-54
47,mujer,2004,16.64,43-54
48,hombre,2006,287.83,43-54
48,hombre,2005,268.559,43-54
48,hombre,2004,261.619,43-54
48,mujer,2006,288.998,43-54
48,mujer,2005,269.772,43-54
48,mujer,2004,262.88,43-54
48,hombre,2006,24.405,43-54
48,hombre,2005,21.648,43-54
48,hombre,2004,16.805,43-54
48,mujer,2006,22.059,43-54
48,mujer,2005,19.488,43-54
48,mujer,2004,15.338,43-54
49,hombre,2006,268.348,43-54
49,hombre,2005,261.384,43-54
49,hombre,2004,249.713,43-54
49,mujer,2006,270.011,43-54
49,mujer,2005,263.012,43-54
49,mujer,2004,252.607,43-54
49,hombre,2006,22.759,43-54
49,hombre,2005,19.586,43-54
49,hombre,2004,15.022,43-54
49,mujer,2006,20.662,43-54
49,mujer,2005,18.026,43-54
49,mujer,2004,14.478,43-54
50,hombre,2006,261.203,43-54
50,hombre,2005,249.428,43-54
50,hombre,2004,252.902,43-54
50,mujer,2006,263.141,43-54
50,mujer,2005,252.784,43-54
50,mujer,2004,253.562,43-54
50,hombre,2006,20.465,43-54
50,hombre,2005,17.524,43-54
50,hombre,2004,13.481,43-54
50,mujer,2006,19.148,43-54
50,mujer,2005,17.026,43-54
50,mujer,2004,13.393,43-54
51,hombre,2006,249.034,43-54
51,hombre,2005,252.467,43-54
51,hombre,2004,253.291,43-54
51,mujer,2006,252.895,43-54
51,mujer,2005,253.697,43-54
51,mujer,2004,253.081,43-54
51,hombre,2006,18.469,43-54
51,hombre,2005,15.819,43-54
51,hombre,2004,12.526,43-54
51,mujer,2006,18.092,43-54
51,mujer,2005,15.801,43-54
51,mujer,2004,12.777,43-54
52,hombre,2006,251.984,43-54
52,hombre,2005,252.683,43-54
52,hombre,2004,236.103,43-54
52,mujer,2006,253.797,43-54
52,mujer,2005,253.115,43-54
52,mujer,2004,237.927,43-54
52,hombre,2006,16.708,43-54
52,hombre,2005,14.762,43-54
52,hombre,2004,10.989,43-54
52,mujer,2006,16.722,43-54
52,mujer,2005,15.153,43-54
52,mujer,2004,11.688,43-54
53,hombre,2006,252.089,43-54
53,hombre,2005,235.488,43-54
53,hombre,2004,231.791,43-54
53,mujer,2006,253.103,43-54
53,mujer,2005,237.965,43-54
53,mujer,2004,233.591,43-54
53,hombre,2006,15.563,43-54
53,hombre,2005,13.073,43-54
53,hombre,2004,10.893,43-54
53,mujer,2006,16.294,43-54
53,mujer,2005,13.838,43-54
53,mujer,2004,11.481,43-54
54,hombre,2006,234.901,55-65
54,hombre,2005,231.073,55-65
54,hombre,2004,240.413,55-65
54,mujer,2006,237.989,55-65
54,mujer,2005,233.579,55-65
54,mujer,2004,246.049,55-65
54,hombre,2006,13.89,55-65
54,hombre,2005,12.783,55-65
54,hombre,2004,9.542,55-65
54,mujer,2006,14.829,55-65
54,mujer,2005,13.753,55-65
54,mujer,2004,10.604,55-65
55,hombre,2006,230.198,55-65
55,hombre,2005,239.58,55-65
55,hombre,2004,253.048,55-65
55,mujer,2006,233.531,55-65
55,mujer,2005,245.986,55-65
55,mujer,2004,259.101,55-65
55,hombre,2006,13.622,55-65
55,hombre,2005,11.335,55-65
55,hombre,2004,9.266,55-65
55,mujer,2006,14.839,55-65
55,mujer,2005,12.755,55-65
55,mujer,2004,10.392,55-65
56,hombre,2006,238.588,55-65
56,hombre,2005,251.902,55-65
56,hombre,2004,230.254,55-65
56,mujer,2006,245.888,55-65
56,mujer,2005,259.008,55-65
56,mujer,2004,236.007,55-65
56,hombre,2006,12.241,55-65
56,hombre,2005,11.175,55-65
56,hombre,2004,9.036,55-65
56,mujer,2006,13.68,55-65
56,mujer,2005,12.477,55-65
56,mujer,2004,10.238,55-65
57,hombre,2006,250.749,55-65
57,hombre,2005,229.163,55-65
57,hombre,2004,219.541,55-65
57,mujer,2006,258.764,55-65
57,mujer,2005,235.917,55-65
57,mujer,2004,227.764,55-65
57,hombre,2006,12.223,55-65
57,hombre,2005,10.87,55-65
57,hombre,2004,8.304,55-65
57,mujer,2006,13.664,55-65
57,mujer,2005,12.263,55-65
57,mujer,2004,9.5,55-65
58,hombre,2006,227.888,55-65
58,hombre,2005,218.431,55-65
58,hombre,2004,231.739,55-65
58,mujer,2006,235.78,55-65
58,mujer,2005,227.532,55-65
58,mujer,2004,241.993,55-65
58,hombre,2006,11.984,55-65
58,hombre,2005,9.925,55-65
58,hombre,2004,7.508,55-65
58,mujer,2006,13.463,55-65
58,mujer,2005,11.47,55-65
58,mujer,2004,8.525,55-65
59,hombre,2006,217.087,55-65
59,hombre,2005,230.503,55-65
59,hombre,2004,218.378,55-65
59,mujer,2006,227.291,55-65
59,mujer,2005,241.695,55-65
59,mujer,2004,229.599,55-65
59,hombre,2006,11.065,55-65
59,hombre,2005,9.05,55-65
59,hombre,2004,7.81,55-65
59,mujer,2006,12.691,55-65
59,mujer,2005,10.264,55-65
59,mujer,2004,8.626,55-65
60,hombre,2006,228.968,55-65
60,hombre,2005,217.086,55-65
60,hombre,2004,216.477,55-65
60,mujer,2006,241.352,55-65
60,mujer,2005,229.34,55-65
60,mujer,2004,226.88,55-65
60,hombre,2006,10.001,55-65
60,hombre,2005,9.584,55-65
60,hombre,2004,7.549,55-65
60,mujer,2006,11.18,55-65
60,mujer,2005,10.528,55-65
60,mujer,2004,8.396,55-65
61,hombre,2006,215.467,55-65
61,hombre,2005,215.031,55-65
61,hombre,2004,185.99,55-65
61,mujer,2006,228.987,55-65
61,mujer,2005,226.63,55-65
61,mujer,2004,196.492,55-65
61,hombre,2006,10.657,55-65
61,hombre,2005,9.082,55-65
61,hombre,2004,7.472,55-65
61,mujer,2006,11.669,55-65
61,mujer,2005,10.089,55-65
61,mujer,2004,8.075,55-65
62,hombre,2006,213.183,55-65
62,hombre,2005,184.639,55-65
62,hombre,2004,171.439,55-65
62,mujer,2006,226.176,55-65
62,mujer,2005,196.065,55-65
62,mujer,2004,180.996,55-65
62,hombre,2006,10.09,55-65
62,hombre,2005,8.97,55-65
62,hombre,2004,7.173,55-65
62,mujer,2006,10.982,55-65
62,mujer,2005,9.673,55-65
62,mujer,2004,7.754,55-65
63,hombre,2006,182.951,55-65
63,hombre,2005,169.92,55-65
63,hombre,2004,211.914,55-65
63,mujer,2006,195.583,55-65
63,mujer,2005,180.633,55-65
63,mujer,2004,227.527,55-65
63,hombre,2006,9.996,55-65
63,hombre,2005,8.572,55-65
63,hombre,2004,7.49,55-65
63,mujer,2006,10.527,55-65
63,mujer,2005,9.128,55-65
63,mujer,2004,7.905,55-65
64,hombre,2006,168.182,55-65
64,hombre,2005,209.778,55-65
64,hombre,2004,136.73,55-65
64,mujer,2006,180.05,55-65
64,mujer,2005,226.822,55-65
64,mujer,2004,152.798,55-65
64,hombre,2006,9.526,55-65
64,hombre,2005,8.879,55-65
64,hombre,2004,7.11,55-65
64,mujer,2006,9.9,55-65
64,mujer,2005,9.276,55-65
64,mujer,2004,7.219,55-65
65,hombre,2006,207.641,65 +
65,hombre,2005,135.266,65 +
65,hombre,2004,157.293,65 +
65,mujer,2006,226.245,65 +
65,mujer,2005,152.445,65 +
65,mujer,2004,175.303,65 +
65,hombre,2006,9.762,65 +
65,hombre,2005,8.502,65 +
65,hombre,2004,7.003,65 +
65,mujer,2006,9.975,65 +
65,mujer,2005,8.472,65 +
65,mujer,2004,6.815,65 +
66,hombre,2006,133.58,65 +
66,hombre,2005,155.347,65 +
66,hombre,2004,177.073,65 +
66,mujer,2006,151.815,65 +
66,mujer,2005,174.642,65 +
66,mujer,2004,198.547,65 +
66,hombre,2006,9.363,65 +
66,hombre,2005,8.236,65 +
66,hombre,2004,6.503,65 +
66,mujer,2006,9.091,65 +
66,mujer,2005,7.945,65 +
66,mujer,2004,6.204,65 +
67,hombre,2006,153.104,65 +
67,hombre,2005,174.521,65 +
67,hombre,2004,193.044,65 +
67,mujer,2006,173.821,65 +
67,mujer,2005,197.694,65 +
67,mujer,2004,223.953,65 +
67,hombre,2006,9.006,65 +
67,hombre,2005,7.598,65 +
67,hombre,2004,6.293,65 +
67,mujer,2006,8.389,65 +
67,mujer,2005,7.217,65 +
67,mujer,2004,5.924,65 +
68,hombre,2006,171.534,65 +
68,hombre,2005,189.879,65 +
68,hombre,2004,187.188,65 +
68,mujer,2006,196.645,65 +
68,mujer,2005,222.596,65 +
68,mujer,2004,214.937,65 +
68,hombre,2006,8.214,65 +
68,hombre,2005,7.237,65 +
68,hombre,2004,5.703,65 +
68,mujer,2006,7.631,65 +
68,mujer,2005,6.707,65 +
68,mujer,2004,5.367,65 +
69,hombre,2006,186.399,65 +
69,hombre,2005,183.881,65 +
69,hombre,2004,184.168,65 +
69,mujer,2006,220.979,65 +
69,mujer,2005,213.529,65 +
69,mujer,2004,214.378,65 +
69,hombre,2006,7.689,65 +
69,hombre,2005,6.451,65 +
69,hombre,2004,5.191,65 +
69,mujer,2006,7.01,65 +
69,mujer,2005,6.072,65 +
69,mujer,2004,4.888,65 +
70,hombre,2006,180.229,65 +
70,hombre,2005,180.658,65 +
70,hombre,2004,188.206,65 +
70,mujer,2006,211.836,65 +
70,mujer,2005,212.708,65 +
70,mujer,2004,221.739,65 +
70,hombre,2006,6.823,65 +
70,hombre,2005,5.844,65 +
70,hombre,2004,4.475,65 +
70,mujer,2006,6.239,65 +
70,mujer,2005,5.515,65 +
70,mujer,2004,4.45,65 +
