Total Nacional;Comunidades y Ciudades Autónomas;Edad (año a año);Españoles/Extranjeros;Sexo;Año;Total
Total Nacional;;23 años;Extranjeros;Hombres;2001;15.005
Total Nacional;;23 años;Extranjeros;Hombres;2000;6.556
Total Nacional;;23 años;Extranjeros;Mujeres;2006;45.179
Total Nacional;;23 años;Extranjeros;Mujeres;2005;42.008
Total Nacional;;23 años;Extranjeros;Mujeres;2004;36.176
Total Nacional;;23 años;Extranjeros;Mujeres;2003;31.080
Total Nacional;;23 años;Extranjeros;Mujeres;2002;22.114
Total Nacional;;23 años;Extranjeros;Mujeres;2001;13.854
Total Nacional;;23 años;Extranjeros;Mujeres;2000;7.056
Total Nacional;;24 años;Españoles;Hombres;2006;286.108
Total Nacional;;24 años;Españoles;Hombres;2005;300.308
Total Nacional;;24 años;Españoles;Hombres;2004;310.798
Total Nacional;;24 años;Españoles;Hombres;2003;328.976
Total Nacional;;24 años;Españoles;Hombres;2002;335.316
Total Nacional;;24 años;Españoles;Hombres;2001;343.851
Total Nacional;;24 años;Españoles;Hombres;2000;344.197
Total Nacional;;24 años;Españoles;Mujeres;2006;271.416
Total Nacional;;24 años;Españoles;Mujeres;2005;286.924
Total Nacional;;24 años;Españoles;Mujeres;2004;296.715
Total Nacional;;24 años;Españoles;Mujeres;2003;313.014
Total Nacional;;24 años;Españoles;Mujeres;2002;318.838
Total Nacional;;24 años;Españoles;Mujeres;2001;329.805
Total Nacional;;24 años;Españoles;Mujeres;2000;330.055
Total Nacional;;24 años;Extranjeros;Hombres;2006;54.253
Total Nacional;;24 años;Extranjeros;Hombres;2005;52.175
Total Nacional;;24 años;Extranjeros;Hombres;2004;42.934
Total Nacional;;24 años;Extranjeros;Hombres;2003;38.154
Total Nacional;;24 años;Extranjeros;Hombres;2002;27.521
Total Nacional;;24 años;Extranjeros;Hombres;2001;16.313
Total Nacional;;24 años;Extranjeros;Hombres;2000;7.254
Total Nacional;;24 años;Extranjeros;Mujeres;2006;50.317
Total Nacional;;24 años;Extranjeros;Mujeres;2005;47.380
Total Nacional;;24 años;Extranjeros;Mujeres;2004;39.462
Total Nacional;;24 años;Extranjeros;Mujeres;2003;33.816
Total Nacional;;24 años;Extranjeros;Mujeres;2002;23.678
Total Nacional;;24 años;Extranjeros;Mujeres;2001;14.838
Total Nacional;;24 años;Extranjeros;Mujeres;2000;7.739
Total Nacional;;25 años;Españoles;Hombres;2006;300.800
Total Nacional;;25 años;Españoles;Hombres;2005;311.370
Total Nacional;;25 años;Españoles;Hombres;2004;328.892
Total Nacional;;25 años;Españoles;Hombres;2003;335.677
Total Nacional;;25 años;Españoles;Hombres;2002;344.332
Total Nacional;;25 años;Españoles;Hombres;2001;344.603
Total Nacional;;25 años;Españoles;Hombres;2000;341.430
Total Nacional;;25 años;Españoles;Mujeres;2006;287.428
Total Nacional;;25 años;Españoles;Mujeres;2005;297.427
Total Nacional;;25 años;Españoles;Mujeres;2004;312.762
Total Nacional;;25 años;Españoles;Mujeres;2003;319.126
Total Nacional;;25 años;Españoles;Mujeres;2002;330.087
Total Nacional;;25 años;Españoles;Mujeres;2001;329.801
Total Nacional;;25 años;Españoles;Mujeres;2000;328.904
Total Nacional;;25 años;Extranjeros;Hombres;2006;62.382
Total Nacional;;25 años;Extranjeros;Hombres;2005;57.624
Total Nacional;;25 años;Extranjeros;Hombres;2004;47.340
Total Nacional;;25 años;Extranjeros;Hombres;2003;41.384
Total Nacional;;25 años;Extranjeros;Hombres;2002;29.062
Total Nacional;;25 años;Extranjeros;Hombres;2001;17.597
Total Nacional;;25 años;Extranjeros;Hombres;2000;7.851
Total Nacional;;25 años;Extranjeros;Mujeres;2006;55.512
Total Nacional;;25 años;Extranjeros;Mujeres;2005;50.785
Total Nacional;;25 años;Extranjeros;Mujeres;2004;42.225
Total Nacional;;25 años;Extranjeros;Mujeres;2003;35.507
Total Nacional;;25 años;Extranjeros;Mujeres;2002;24.764
Total Nacional;;25 años;Extranjeros;Mujeres;2001;15.791
Total Nacional;;25 años;Extranjeros;Mujeres;2000;8.294
Total Nacional;;26 años;Españoles;Hombres;2006;311.872
Total Nacional;;26 años;Españoles;Hombres;2005;329.593
Total Nacional;;26 años;Españoles;Hombres;2004;335.608
Total Nacional;;26 años;Españoles;Hombres;2003;344.613
Total Nacional;;26 años;Españoles;Hombres;2002;345.133
Total Nacional;;26 años;Españoles;Hombres;2001;341.754
Total Nacional;;26 años;Españoles;Hombres;2000;335.987
Total Nacional;;26 años;Españoles;Mujeres;2006;298.031
Total Nacional;;26 años;Españoles;Mujeres;2005;313.598
Total Nacional;;26 años;Españoles;Mujeres;2004;318.794
Total Nacional;;26 años;Españoles;Mujeres;2003;330.259
Total Nacional;;26 años;Españoles;Mujeres;2002;329.962
Total Nacional;;26 años;Españoles;Mujeres;2001;328.811
Total Nacional;;26 años;Españoles;Mujeres;2000;323.143
Total Nacional;;26 años;Extranjeros;Hombres;2006;67.049
Total Nacional;;26 años;Extranjeros;Hombres;2005;62.733
Total Nacional;;26 años;Extranjeros;Hombres;2004;50.307
Total Nacional;;26 años;Extranjeros;Hombres;2003;43.426
Total Nacional;;26 años;Extranjeros;Hombres;2002;30.572
Total Nacional;;26 años;Extranjeros;Hombres;2001;18.507
Total Nacional;;26 años;Extranjeros;Hombres;2000;8.690
Total Nacional;;26 años;Extranjeros;Mujeres;2006;58.062
Total Nacional;;26 años;Extranjeros;Mujeres;2005;53.151
Total Nacional;;26 años;Extranjeros;Mujeres;2004;43.375
Total Nacional;;26 años;Extranjeros;Mujeres;2003;36.501
Total Nacional;;26 años;Extranjeros;Mujeres;2002;25.738
Total Nacional;;26 años;Extranjeros;Mujeres;2001;16.423
Total Nacional;;26 años;Extranjeros;Mujeres;2000;8.893
Total Nacional;;27 años;Españoles;Hombres;2006;330.134
Total Nacional;;27 años;Españoles;Hombres;2005;336.224
Total Nacional;;27 años;Españoles;Hombres;2004;344.436
Total Nacional;;27 años;Españoles;Hombres;2003;345.583
Total Nacional;;27 años;Españoles;Hombres;2002;342.355
Total Nacional;;27 años;Españoles;Hombres;2001;336.484
Total Nacional;;27 años;Españoles;Hombres;2000;334.857
Total Nacional;;27 años;Españoles;Mujeres;2006;314.137
Total Nacional;;27 años;Españoles;Mujeres;2005;319.775
Total Nacional;;27 años;Españoles;Mujeres;2004;330.038
Total Nacional;;27 años;Españoles;Mujeres;2003;330.068
Total Nacional;;27 años;Españoles;Mujeres;2002;329.171
Total Nacional;;27 años;Españoles;Mujeres;2001;322.944
Total Nacional;;27 años;Españoles;Mujeres;2000;323.325
Total Nacional;;27 años;Extranjeros;Hombres;2006;71.430
Total Nacional;;27 años;Extranjeros;Hombres;2005;65.423
Total Nacional;;27 años;Extranjeros;Hombres;2004;51.849
Total Nacional;;27 años;Extranjeros;Hombres;2003;44.774
Total Nacional;;27 años;Extranjeros;Hombres;2002;31.495
Total Nacional;;27 años;Extranjeros;Hombres;2001;19.338
Total Nacional;;27 años;Extranjeros;Hombres;2000;9.774
Total Nacional;;27 años;Extranjeros;Mujeres;2006;59.936
Total Nacional;;27 años;Extranjeros;Mujeres;2005;53.750
Total Nacional;;27 años;Extranjeros;Mujeres;2004;43.699
Total Nacional;;27 años;Extranjeros;Mujeres;2003;36.620
Total Nacional;;27 años;Extranjeros;Mujeres;2002;26.325
Total Nacional;;27 años;Extranjeros;Mujeres;2001;16.916
Total Nacional;;27 años;Extranjeros;Mujeres;2000;9.549
Total Nacional;;28 años;Españoles;Hombres;2006;336.908
Total Nacional;;28 años;Españoles;Hombres;2005;345.228
Total Nacional;;28 años;Españoles;Hombres;2004;345.227
Total Nacional;;28 años;Españoles;Hombres;2003;342.937
Total Nacional;;28 años;Españoles;Hombres;2002;337.246
Total Nacional;;28 años;Españoles;Hombres;2001;335.374
Total Nacional;;28 años;Españoles;Hombres;2000;330.541
Total Nacional;;28 años;Españoles;Mujeres;2006;320.490
Total Nacional;;28 años;Españoles;Mujeres;2005;330.899
Total Nacional;;28 años;Españoles;Mujeres;2004;329.792
Total Nacional;;28 años;Españoles;Mujeres;2003;329.435
Total Nacional;;28 años;Españoles;Mujeres;2002;323.300
Total Nacional;;28 años;Españoles;Mujeres;2001;323.209
Total Nacional;;28 años;Españoles;Mujeres;2000;319.170
Total Nacional;;28 años;Extranjeros;Hombres;2006;73.921
Total Nacional;;28 años;Extranjeros;Hombres;2005;66.181
Total Nacional;;28 años;Extranjeros;Hombres;2004;52.680
Total Nacional;;28 años;Extranjeros;Hombres;2003;45.379
Total Nacional;;28 años;Extranjeros;Hombres;2002;31.693
Total Nacional;;28 años;Extranjeros;Hombres;2001;20.561
Total Nacional;;28 años;Extranjeros;Hombres;2000;10.181
Total Nacional;;28 años;Extranjeros;Mujeres;2006;59.641
Total Nacional;;28 años;Extranjeros;Mujeres;2005;53.271
Total Nacional;;28 años;Extranjeros;Mujeres;2004;43.128
Total Nacional;;28 años;Extranjeros;Mujeres;2003;36.830
Total Nacional;;28 años;Extranjeros;Mujeres;2002;26.180
Total Nacional;;28 años;Extranjeros;Mujeres;2001;17.302
Total Nacional;;28 años;Extranjeros;Mujeres;2000;10.041
Total Nacional;;29 años;Españoles;Hombres;2006;345.936
Total Nacional;;29 años;Españoles;Hombres;2005;345.985
Total Nacional;;29 años;Españoles;Hombres;2004;342.804
Total Nacional;;29 años;Españoles;Hombres;2003;337.727
Total Nacional;;29 años;Españoles;Hombres;2002;336.109
Total Nacional;;29 años;Españoles;Hombres;2001;331.404
Total Nacional;;29 años;Españoles;Hombres;2000;326.040
Total Nacional;;29 años;Españoles;Mujeres;2006;331.781
Total Nacional;;29 años;Españoles;Mujeres;2005;330.688
Total Nacional;;29 años;Españoles;Mujeres;2004;329.297
Total Nacional;;29 años;Españoles;Mujeres;2003;323.635
Total Nacional;;29 años;Españoles;Mujeres;2002;323.740
Total Nacional;;29 años;Españoles;Mujeres;2001;319.212
Total Nacional;;29 años;Españoles;Mujeres;2000;316.575
Total Nacional;;29 años;Extranjeros;Hombres;2006;73.703
Total Nacional;;29 años;Extranjeros;Hombres;2005;66.479
Total Nacional;;29 años;Extranjeros;Hombres;2004;52.526
Total Nacional;;29 años;Extranjeros;Hombres;2003;44.547
Total Nacional;;29 años;Extranjeros;Hombres;2002;32.951
Total Nacional;;29 años;Extranjeros;Hombres;2001;20.211
Total Nacional;;29 años;Extranjeros;Hombres;2000;11.847
Total Nacional;;29 años;Extranjeros;Mujeres;2006;58.563
Total Nacional;;29 años;Extranjeros;Mujeres;2005;52.180
Total Nacional;;29 años;Extranjeros;Mujeres;2004;42.557
Total Nacional;;29 años;Extranjeros;Mujeres;2003;35.744
Total Nacional;;29 años;Extranjeros;Mujeres;2002;26.111
Total Nacional;;29 años;Extranjeros;Mujeres;2001;17.516
Total Nacional;;29 años;Extranjeros;Mujeres;2000;10.689
Total Nacional;;30 años;Españoles;Hombres;2006;346.671
Total Nacional;;30 años;Españoles;Hombres;2005;343.743
Total Nacional;;30 años;Españoles;Hombres;2004;337.837
Total Nacional;;30 años;Españoles;Hombres;2003;336.728
Total Nacional;;30 años;Españoles;Hombres;2002;332.341
Total Nacional;;30 años;Españoles;Hombres;2001;327.005
Total Nacional;;30 años;Españoles;Hombres;2000;323.167
Total Nacional;;30 años;Españoles;Mujeres;2006;331.460
Total Nacional;;30 años;Españoles;Mujeres;2005;330.571
Total Nacional;;30 años;Españoles;Mujeres;2004;323.481
Total Nacional;;30 años;Españoles;Mujeres;2003;324.132
Total Nacional;;30 años;Españoles;Mujeres;2002;319.826
Total Nacional;;30 años;Españoles;Mujeres;2001;316.499
Total Nacional;;30 años;Españoles;Mujeres;2000;315.570
Total Nacional;;30 años;Extranjeros;Hombres;2006;73.245
Total Nacional;;30 años;Extranjeros;Hombres;2005;65.738
Total Nacional;;30 años;Extranjeros;Hombres;2004;51.008
Total Nacional;;30 años;Extranjeros;Hombres;2003;45.319
Total Nacional;;30 años;Extranjeros;Hombres;2002;31.853
Total Nacional;;30 años;Extranjeros;Hombres;2001;22.009
Total Nacional;;30 años;Extranjeros;Hombres;2000;12.114
Total Nacional;;30 años;Extranjeros;Mujeres;2006;56.729
Total Nacional;;30 años;Extranjeros;Mujeres;2005;50.809
Total Nacional;;30 años;Extranjeros;Mujeres;2004;40.765
Total Nacional;;30 años;Extranjeros;Mujeres;2003;35.324
Total Nacional;;30 años;Extranjeros;Mujeres;2002;25.997
