Total Nacional;Comunidades y Ciudades Autónomas;Edad (año a año);Españoles/Extranjeros;Sexo;Año;Total
Total Nacional;;50 años;Españoles;Mujeres;2002;237.817
Total Nacional;;50 años;Españoles;Mujeres;2001;233.669
Total Nacional;;50 años;Españoles;Mujeres;2000;245.940
Total Nacional;;50 años;Extranjeros;Hombres;2006;20.465
Total Nacional;;50 años;Extranjeros;Hombres;2005;17.524
Total Nacional;;50 años;Extranjeros;Hombres;2004;13.481
Total Nacional;;50 años;Extranjeros;Hombres;2003;12.134
Total Nacional;;50 años;Extranjeros;Hombres;2002;8.655
Total Nacional;;50 años;Extranjeros;Hombres;2001;6.904
Total Nacional;;50 años;Extranjeros;Hombres;2000;4.871
Total Nacional;;50 años;Extranjeros;Mujeres;2006;19.148
Total Nacional;;50 años;Extranjeros;Mujeres;2005;17.026
Total Nacional;;50 años;Extranjeros;Mujeres;2004;13.393
Total Nacional;;50 años;Extranjeros;Mujeres;2003;11.984
Total Nacional;;50 años;Extranjeros;Mujeres;2002;8.599
Total Nacional;;50 años;Extranjeros;Mujeres;2001;6.855
Total Nacional;;50 años;Extranjeros;Mujeres;2000;5.067
Total Nacional;;51 años;Españoles;Hombres;2006;249.034
Total Nacional;;51 años;Españoles;Hombres;2005;252.467
Total Nacional;;51 años;Españoles;Hombres;2004;253.291
Total Nacional;;51 años;Españoles;Hombres;2003;236.679
Total Nacional;;51 años;Españoles;Hombres;2002;232.661
Total Nacional;;51 años;Españoles;Hombres;2001;242.113
Total Nacional;;51 años;Españoles;Hombres;2000;255.167
Total Nacional;;51 años;Españoles;Mujeres;2006;252.895
Total Nacional;;51 años;Españoles;Mujeres;2005;253.697
Total Nacional;;51 años;Españoles;Mujeres;2004;253.081
Total Nacional;;51 años;Españoles;Mujeres;2003;238.011
Total Nacional;;51 años;Españoles;Mujeres;2002;233.586
Total Nacional;;51 años;Españoles;Mujeres;2001;246.076
Total Nacional;;51 años;Españoles;Mujeres;2000;259.395
Total Nacional;;51 años;Extranjeros;Hombres;2006;18.469
Total Nacional;;51 años;Extranjeros;Hombres;2005;15.819
Total Nacional;;51 años;Extranjeros;Hombres;2004;12.526
Total Nacional;;51 años;Extranjeros;Hombres;2003;10.634
Total Nacional;;51 años;Extranjeros;Hombres;2002;8.780
Total Nacional;;51 años;Extranjeros;Hombres;2001;5.927
Total Nacional;;51 años;Extranjeros;Hombres;2000;4.757
Total Nacional;;51 años;Extranjeros;Mujeres;2006;18.092
Total Nacional;;51 años;Extranjeros;Mujeres;2005;15.801
Total Nacional;;51 años;Extranjeros;Mujeres;2004;12.777
Total Nacional;;51 años;Extranjeros;Mujeres;2003;10.843
Total Nacional;;51 años;Extranjeros;Mujeres;2002;8.719
Total Nacional;;51 años;Extranjeros;Mujeres;2001;6.222
Total Nacional;;51 años;Extranjeros;Mujeres;2000;5.033
Total Nacional;;52 años;Españoles;Hombres;2006;251.984
Total Nacional;;52 años;Españoles;Hombres;2005;252.683
Total Nacional;;52 años;Españoles;Hombres;2004;236.103
Total Nacional;;52 años;Españoles;Hombres;2003;232.412
Total Nacional;;52 años;Españoles;Hombres;2002;241.668
Total Nacional;;52 años;Españoles;Hombres;2001;255.304
Total Nacional;;52 años;Españoles;Hombres;2000;232.769
Total Nacional;;52 años;Españoles;Mujeres;2006;253.797
Total Nacional;;52 años;Españoles;Mujeres;2005;253.115
Total Nacional;;52 años;Españoles;Mujeres;2004;237.927
Total Nacional;;52 años;Españoles;Mujeres;2003;233.787
Total Nacional;;52 años;Españoles;Mujeres;2002;246.009
Total Nacional;;52 años;Españoles;Mujeres;2001;259.425
Total Nacional;;52 años;Españoles;Mujeres;2000;236.225
Total Nacional;;52 años;Extranjeros;Hombres;2006;16.708
Total Nacional;;52 años;Extranjeros;Hombres;2005;14.762
Total Nacional;;52 años;Extranjeros;Hombres;2004;10.989
Total Nacional;;52 años;Extranjeros;Hombres;2003;10.698
Total Nacional;;52 años;Extranjeros;Hombres;2002;7.457
Total Nacional;;52 años;Extranjeros;Hombres;2001;5.787
Total Nacional;;52 años;Extranjeros;Hombres;2000;4.592
Total Nacional;;52 años;Extranjeros;Mujeres;2006;16.722
Total Nacional;;52 años;Extranjeros;Mujeres;2005;15.153
Total Nacional;;52 años;Extranjeros;Mujeres;2004;11.688
Total Nacional;;52 años;Extranjeros;Mujeres;2003;10.861
Total Nacional;;52 años;Extranjeros;Mujeres;2002;7.910
Total Nacional;;52 años;Extranjeros;Mujeres;2001;6.150
Total Nacional;;52 años;Extranjeros;Mujeres;2000;4.965
Total Nacional;;53 años;Españoles;Hombres;2006;252.089
Total Nacional;;53 años;Españoles;Hombres;2005;235.488
Total Nacional;;53 años;Españoles;Hombres;2004;231.791
Total Nacional;;53 años;Españoles;Hombres;2003;241.316
Total Nacional;;53 años;Españoles;Hombres;2002;254.705
Total Nacional;;53 años;Españoles;Hombres;2001;232.641
Total Nacional;;53 años;Españoles;Hombres;2000;222.410
Total Nacional;;53 años;Españoles;Mujeres;2006;253.103
Total Nacional;;53 años;Españoles;Mujeres;2005;237.965
Total Nacional;;53 años;Españoles;Mujeres;2004;233.591
Total Nacional;;53 años;Españoles;Mujeres;2003;246.134
Total Nacional;;53 años;Españoles;Mujeres;2002;259.259
Total Nacional;;53 años;Españoles;Mujeres;2001;236.284
Total Nacional;;53 años;Españoles;Mujeres;2000;228.131
Total Nacional;;53 años;Extranjeros;Hombres;2006;15.563
Total Nacional;;53 años;Extranjeros;Hombres;2005;13.073
Total Nacional;;53 años;Extranjeros;Hombres;2004;10.893
Total Nacional;;53 años;Extranjeros;Hombres;2003;9.169
Total Nacional;;53 años;Extranjeros;Hombres;2002;7.204
Total Nacional;;53 años;Extranjeros;Hombres;2001;5.584
Total Nacional;;53 años;Extranjeros;Hombres;2000;4.291
Total Nacional;;53 años;Extranjeros;Mujeres;2006;16.294
Total Nacional;;53 años;Extranjeros;Mujeres;2005;13.838
Total Nacional;;53 años;Extranjeros;Mujeres;2004;11.481
Total Nacional;;53 años;Extranjeros;Mujeres;2003;9.975
Total Nacional;;53 años;Extranjeros;Mujeres;2002;7.816
Total Nacional;;53 años;Extranjeros;Mujeres;2001;6.078
Total Nacional;;53 años;Extranjeros;Mujeres;2000;4.608
Total Nacional;;54 años;Españoles;Hombres;2006;234.901
Total Nacional;;54 años;Españoles;Hombres;2005;231.073
Total Nacional;;54 años;Españoles;Hombres;2004;240.413
Total Nacional;;54 años;Españoles;Hombres;2003;254.184
Total Nacional;;54 años;Españoles;Hombres;2002;231.886
Total Nacional;;54 años;Españoles;Hombres;2001;222.149
Total Nacional;;54 años;Españoles;Hombres;2000;235.547
Total Nacional;;54 años;Españoles;Mujeres;2006;237.989
Total Nacional;;54 años;Españoles;Mujeres;2005;233.579
Total Nacional;;54 años;Españoles;Mujeres;2004;246.049
Total Nacional;;54 años;Españoles;Mujeres;2003;259.322
Total Nacional;;54 años;Españoles;Mujeres;2002;236.115
Total Nacional;;54 años;Españoles;Mujeres;2001;228.178
Total Nacional;;54 años;Españoles;Mujeres;2000;242.752
Total Nacional;;54 años;Extranjeros;Hombres;2006;13.890
Total Nacional;;54 años;Extranjeros;Hombres;2005;12.783
Total Nacional;;54 años;Extranjeros;Hombres;2004;9.542
Total Nacional;;54 años;Extranjeros;Hombres;2003;8.925
Total Nacional;;54 años;Extranjeros;Hombres;2002;6.929
Total Nacional;;54 años;Extranjeros;Hombres;2001;5.229
Total Nacional;;54 años;Extranjeros;Hombres;2000;4.063
Total Nacional;;54 años;Extranjeros;Mujeres;2006;14.829
Total Nacional;;54 años;Extranjeros;Mujeres;2005;13.753
Total Nacional;;54 años;Extranjeros;Mujeres;2004;10.604
Total Nacional;;54 años;Extranjeros;Mujeres;2003;9.829
Total Nacional;;54 años;Extranjeros;Mujeres;2002;7.612
Total Nacional;;54 años;Extranjeros;Mujeres;2001;5.533
Total Nacional;;54 años;Extranjeros;Mujeres;2000;4.259
Total Nacional;;55 años;Españoles;Hombres;2006;230.198
Total Nacional;;55 años;Españoles;Hombres;2005;239.580
Total Nacional;;55 años;Españoles;Hombres;2004;253.048
Total Nacional;;55 años;Españoles;Hombres;2003;231.342
Total Nacional;;55 años;Españoles;Hombres;2002;221.385
Total Nacional;;55 años;Españoles;Hombres;2001;235.266
Total Nacional;;55 años;Españoles;Hombres;2000;222.467
Total Nacional;;55 años;Españoles;Mujeres;2006;233.531
Total Nacional;;55 años;Españoles;Mujeres;2005;245.986
Total Nacional;;55 años;Españoles;Mujeres;2004;259.101
Total Nacional;;55 años;Españoles;Mujeres;2003;236.192
Total Nacional;;55 años;Españoles;Mujeres;2002;227.980
Total Nacional;;55 años;Españoles;Mujeres;2001;242.688
Total Nacional;;55 años;Españoles;Mujeres;2000;230.325
Total Nacional;;55 años;Extranjeros;Hombres;2006;13.622
Total Nacional;;55 años;Extranjeros;Hombres;2005;11.335
Total Nacional;;55 años;Extranjeros;Hombres;2004;9.266
Total Nacional;;55 años;Extranjeros;Hombres;2003;8.703
Total Nacional;;55 años;Extranjeros;Hombres;2002;6.532
Total Nacional;;55 años;Extranjeros;Hombres;2001;4.752
Total Nacional;;55 años;Extranjeros;Hombres;2000;4.133
Total Nacional;;55 años;Extranjeros;Mujeres;2006;14.839
Total Nacional;;55 años;Extranjeros;Mujeres;2005;12.755
Total Nacional;;55 años;Extranjeros;Mujeres;2004;10.392
Total Nacional;;55 años;Extranjeros;Mujeres;2003;9.598
Total Nacional;;55 años;Extranjeros;Mujeres;2002;6.960
Total Nacional;;55 años;Extranjeros;Mujeres;2001;5.083
Total Nacional;;55 años;Extranjeros;Mujeres;2000;4.438
Total Nacional;;56 años;Españoles;Hombres;2006;238.588
Total Nacional;;56 años;Españoles;Hombres;2005;251.902
Total Nacional;;56 años;Españoles;Hombres;2004;230.254
Total Nacional;;56 años;Españoles;Hombres;2003;220.758
Total Nacional;;56 años;Españoles;Hombres;2002;234.166
Total Nacional;;56 años;Españoles;Hombres;2001;221.920
Total Nacional;;56 años;Españoles;Hombres;2000;221.216
Total Nacional;;56 años;Españoles;Mujeres;2006;245.888
Total Nacional;;56 años;Españoles;Mujeres;2005;259.008
Total Nacional;;56 años;Españoles;Mujeres;2004;236.007
Total Nacional;;56 años;Españoles;Mujeres;2003;228.011
Total Nacional;;56 años;Españoles;Mujeres;2002;242.482
Total Nacional;;56 años;Españoles;Mujeres;2001;230.336
Total Nacional;;56 años;Españoles;Mujeres;2000;227.689
Total Nacional;;56 años;Extranjeros;Hombres;2006;12.241
Total Nacional;;56 años;Extranjeros;Hombres;2005;11.175
Total Nacional;;56 años;Extranjeros;Hombres;2004;9.036
Total Nacional;;56 años;Extranjeros;Hombres;2003;8.084
Total Nacional;;56 años;Extranjeros;Hombres;2002;5.856
Total Nacional;;56 años;Extranjeros;Hombres;2001;4.905
Total Nacional;;56 años;Extranjeros;Hombres;2000;4.166
Total Nacional;;56 años;Extranjeros;Mujeres;2006;13.680
Total Nacional;;56 años;Extranjeros;Mujeres;2005;12.477
Total Nacional;;56 años;Extranjeros;Mujeres;2004;10.238
Total Nacional;;56 años;Extranjeros;Mujeres;2003;8.969
Total Nacional;;56 años;Extranjeros;Mujeres;2002;6.328
Total Nacional;;56 años;Extranjeros;Mujeres;2001;5.311
Total Nacional;;56 años;Extranjeros;Mujeres;2000;4.498
Total Nacional;;57 años;Españoles;Hombres;2006;250.749
Total Nacional;;57 años;Españoles;Hombres;2005;229.163
Total Nacional;;57 años;Españoles;Hombres;2004;219.541
Total Nacional;;57 años;Españoles;Hombres;2003;233.182
Total Nacional;;57 años;Españoles;Hombres;2002;220.783
Total Nacional;;57 años;Españoles;Hombres;2001;220.461
Total Nacional;;57 años;Españoles;Hombres;2000;190.646
Total Nacional;;57 años;Españoles;Mujeres;2006;258.764
Total Nacional;;57 años;Españoles;Mujeres;2005;235.917
Total Nacional;;57 años;Españoles;Mujeres;2004;227.764
Total Nacional;;57 años;Españoles;Mujeres;2003;242.454
Total Nacional;;57 años;Españoles;Mujeres;2002;230.048
Total Nacional;;57 años;Españoles;Mujeres;2001;227.646
Total Nacional;;57 años;Españoles;Mujeres;2000;197.550
Total Nacional;;57 años;Extranjeros;Hombres;2006;12.223
Total Nacional;;57 años;Extranjeros;Hombres;2005;10.870
Total Nacional;;57 años;Extranjeros;Hombres;2004;8.304
Total Nacional;;57 años;Extranjeros;Hombres;2003;7.264
Total Nacional;;57 años;Extranjeros;Hombres;2002;6.057
Total Nacional;;57 años;Extranjeros;Hombres;2001;4.807
Total Nacional;;57 años;Extranjeros;Hombres;2000;4.135
Total Nacional;;57 años;Extranjeros;Mujeres;2006;13.664
Total Nacional;;57 años;Extranjeros;Mujeres;2005;12.263
Total Nacional;;57 años;Extranjeros;Mujeres;2004;9.500
Total Nacional;;57 años;Extranjeros;Mujeres;2003;8.099
Total Nacional;;57 años;Extranjeros;Mujeres;2002;6.525
Total Nacional;;57 años;Extranjeros;Mujeres;2001;5.210
Total Nacional;;57 años;Extranjeros;Mujeres;2000;4.220
Total Nacional;;58 años;Españoles;Hombres;2006;227.888
Total Nacional;;58 años;Españoles;Hombres;2005;218.431
Total Nacional;;58 años;Españoles;Hombres;2004;231.739
Total Nacional;;58 años;Españoles;Hombres;2003;219.863
Total Nacional;;58 años;Españoles;Hombres;2002;219.114
Total Nacional;;58 años;Españoles;Hombres;2001;189.895
Total Nacional;;58 años;Españoles;Hombres;2000;176.076
Total Nacional;;58 años;Españoles;Mujeres;2006;235.780
Total Nacional;;58 años;Españoles;Mujeres;2005;227.532
Total Nacional;;58 años;Españoles;Mujeres;2004;241.993
Total Nacional;;58 años;Españoles;Mujeres;2003;229.933
Total Nacional;;58 años;Españoles;Mujeres;2002;227.379
Total Nacional;;58 años;Españoles;Mujeres;2001;197.551
Total Nacional;;58 años;Españoles;Mujeres;2000;181.983
Total Nacional;;58 años;Extranjeros;Hombres;2006;11.984
Total Nacional;;58 años;Extranjeros;Hombres;2005;9.925
Total Nacional;;58 años;Extranjeros;Hombres;2004;7.508
Total Nacional;;58 años;Extranjeros;Hombres;2003;7.571
Total Nacional;;58 años;Extranjeros;Hombres;2002;5.842
Total Nacional;;58 años;Extranjeros;Hombres;2001;4.808
Total Nacional;;58 años;Extranjeros;Hombres;2000;3.908
Total Nacional;;58 años;Extranjeros;Mujeres;2006;13.463
Total Nacional;;58 años;Extranjeros;Mujeres;2005;11.470
Total Nacional;;58 años;Extranjeros;Mujeres;2004;8.525
Total Nacional;;58 años;Extranjeros;Mujeres;2003;8.253
Total Nacional;;58 años;Extranjeros;Mujeres;2002;6.408
Total Nacional;;58 años;Extranjeros;Mujeres;2001;4.993
Total Nacional;;58 años;Extranjeros;Mujeres;2000;4.109
Total Nacional;;59 años;Españoles;Hombres;2006;217.087
Total Nacional;;59 años;Españoles;Hombres;2005;230.503
Total Nacional;;59 años;Españoles;Hombres;2004;218.378
Total Nacional;;59 años;Españoles;Hombres;2003;218.020
Total Nacional;;59 años;Españoles;Hombres;2002;188.632
Total Nacional;;59 años;Españoles;Hombres;2001;175.276
Total Nacional;;59 años;Españoles;Hombres;2000;218.420
Total Nacional;;59 años;Españoles;Mujeres;2006;227.291
Total Nacional;;59 años;Españoles;Mujeres;2005;241.695
Total Nacional;;59 años;Españoles;Mujeres;2004;229.599
Total Nacional;;59 años;Españoles;Mujeres;2003;227.288
Total Nacional;;59 años;Españoles;Mujeres;2002;197.087
Total Nacional;;59 años;Españoles;Mujeres;2001;181.901
Total Nacional;;59 años;Españoles;Mujeres;2000;229.283
Total Nacional;;59 años;Extranjeros;Hombres;2006;11.065
Total Nacional;;59 años;Extranjeros;Hombres;2005;9.050
Total Nacional;;59 años;Extranjeros;Hombres;2004;7.810
Total Nacional;;59 años;Extranjeros;Hombres;2003;7.305
Total Nacional;;59 años;Extranjeros;Hombres;2002;5.762
Total Nacional;;59 años;Extranjeros;Hombres;2001;4.506
Total Nacional;;59 años;Extranjeros;Hombres;2000;4.192
Total Nacional;;59 años;Extranjeros;Mujeres;2006;12.691
Total Nacional;;59 años;Extranjeros;Mujeres;2005;10.264
Total Nacional;;59 años;Extranjeros;Mujeres;2004;8.626
Total Nacional;;59 años;Extranjeros;Mujeres;2003;8.026
Total Nacional;;59 años;Extranjeros;Mujeres;2002;6.114
Total Nacional;;59 años;Extranjeros;Mujeres;2001;4.859
Total Nacional;;59 años;Extranjeros;Mujeres;2000;4.296
Total Nacional;;60 años;Españoles;Hombres;2006;228.968
Total Nacional;;60 años;Españoles;Hombres;2005;217.086
Total Nacional;;60 años;Españoles;Hombres;2004;216.477
Total Nacional;;60 años;Españoles;Hombres;2003;187.515
Total Nacional;;60 años;Españoles;Hombres;2002;174.104
Total Nacional;;60 años;Españoles;Hombres;2001;217.494
Total Nacional;;60 años;Españoles;Hombres;2000;141.718
Total Nacional;;60 años;Españoles;Mujeres;2006;241.352
Total Nacional;;60 años;Españoles;Mujeres;2005;229.340
Total Nacional;;60 años;Españoles;Mujeres;2004;226.880
Total Nacional;;60 años;Españoles;Mujeres;2003;196.959
Total Nacional;;60 años;Españoles;Mujeres;2002;181.516
Total Nacional;;60 años;Españoles;Mujeres;2001;228.981
Total Nacional;;60 años;Españoles;Mujeres;2000;154.527
Total Nacional;;60 años;Extranjeros;Hombres;2006;10.001
Total Nacional;;60 años;Extranjeros;Hombres;2005;9.584
Total Nacional;;60 años;Extranjeros;Hombres;2004;7.549
Total Nacional;;60 años;Extranjeros;Hombres;2003;7.215
Total Nacional;;60 años;Extranjeros;Hombres;2002;5.537
Total Nacional;;60 años;Extranjeros;Hombres;2001;4.861
Total Nacional;;60 años;Extranjeros;Hombres;2000;3.989
Total Nacional;;60 años;Extranjeros;Mujeres;2006;11.180
Total Nacional;;60 años;Extranjeros;Mujeres;2005;10.528
Total Nacional;;60 años;Extranjeros;Mujeres;2004;8.396
Total Nacional;;60 años;Extranjeros;Mujeres;2003;7.671
Total Nacional;;60 años;Extranjeros;Mujeres;2002;5.951
Total Nacional;;60 años;Extranjeros;Mujeres;2001;5.053
Total Nacional;;60 años;Extranjeros;Mujeres;2000;3.972
Total Nacional;;61 años;Españoles;Hombres;2006;215.467
Total Nacional;;61 años;Españoles;Hombres;2005;215.031
Total Nacional;;61 años;Españoles;Hombres;2004;185.990
Total Nacional;;61 años;Españoles;Hombres;2003;173.001
Total Nacional;;61 años;Españoles;Hombres;2002;215.842
Total Nacional;;61 años;Españoles;Hombres;2001;140.850
Total Nacional;;61 años;Españoles;Hombres;2000;163.447
Total Nacional;;61 años;Españoles;Mujeres;2006;228.987
Total Nacional;;61 años;Españoles;Mujeres;2005;226.630
Total Nacional;;61 años;Españoles;Mujeres;2004;196.492
Total Nacional;;61 años;Españoles;Mujeres;2003;181.375
Total Nacional;;61 años;Españoles;Mujeres;2002;228.404
Total Nacional;;61 años;Españoles;Mujeres;2001;154.308
Total Nacional;;61 años;Españoles;Mujeres;2000;177.306
Total Nacional;;61 años;Extranjeros;Hombres;2006;10.657
Total Nacional;;61 años;Extranjeros;Hombres;2005;9.082
Total Nacional;;61 años;Extranjeros;Hombres;2004;7.472
Total Nacional;;61 años;Extranjeros;Hombres;2003;6.966
Total Nacional;;61 años;Extranjeros;Hombres;2002;5.985
Total Nacional;;61 años;Extranjeros;Hombres;2001;4.733
Total Nacional;;61 años;Extranjeros;Hombres;2000;4.009
Total Nacional;;61 años;Extranjeros;Mujeres;2006;11.669
Total Nacional;;61 años;Extranjeros;Mujeres;2005;10.089
Total Nacional;;61 años;Extranjeros;Mujeres;2004;8.075
Total Nacional;;61 años;Extranjeros;Mujeres;2003;7.503
Total Nacional;;61 años;Extranjeros;Mujeres;2002;6.179
Total Nacional;;61 años;Extranjeros;Mujeres;2001;4.712
Total Nacional;;61 años;Extranjeros;Mujeres;2000;3.920
Total Nacional;;62 años;Españoles;Hombres;2006;213.183
Total Nacional;;62 años;Españoles;Hombres;2005;184.639
Total Nacional;;62 años;Españoles;Hombres;2004;171.439
Total Nacional;;62 años;Españoles;Hombres;2003;214.071
Total Nacional;;62 años;Españoles;Hombres;2002;139.569
Total Nacional;;62 años;Españoles;Hombres;2001;162.372
Total Nacional;;62 años;Españoles;Hombres;2000;184.954
Total Nacional;;62 años;Españoles;Mujeres;2006;226.176
Total Nacional;;62 años;Españoles;Mujeres;2005;196.065
Total Nacional;;62 años;Españoles;Mujeres;2004;180.996
Total Nacional;;62 años;Españoles;Mujeres;2003;228.145
Total Nacional;;62 años;Españoles;Mujeres;2002;153.864
Total Nacional;;62 años;Españoles;Mujeres;2001;177.037
Total Nacional;;62 años;Españoles;Mujeres;2000;200.838
Total Nacional;;62 años;Extranjeros;Hombres;2006;10.090
Total Nacional;;62 años;Extranjeros;Hombres;2005;8.970
Total Nacional;;62 años;Extranjeros;Hombres;2004;7.173
Total Nacional;;62 años;Extranjeros;Hombres;2003;7.451
Total Nacional;;62 años;Extranjeros;Hombres;2002;5.714
Total Nacional;;62 años;Extranjeros;Hombres;2001;4.690
Total Nacional;;62 años;Extranjeros;Hombres;2000;3.874
Total Nacional;;62 años;Extranjeros;Mujeres;2006;10.982
Total Nacional;;62 años;Extranjeros;Mujeres;2005;9.673
Total Nacional;;62 años;Extranjeros;Mujeres;2004;7.754
Total Nacional;;62 años;Extranjeros;Mujeres;2003;7.637
Total Nacional;;62 años;Extranjeros;Mujeres;2002;5.696
Total Nacional;;62 años;Extranjeros;Mujeres;2001;4.558
Total Nacional;;62 años;Extranjeros;Mujeres;2000;3.725
Total Nacional;;63 años;Españoles;Hombres;2006;182.951
Total Nacional;;63 años;Españoles;Hombres;2005;169.920
Total Nacional;;63 años;Españoles;Hombres;2004;211.914
Total Nacional;;63 años;Españoles;Hombres;2003;138.288
Total Nacional;;63 años;Españoles;Hombres;2002;160.691
Total Nacional;;63 años;Españoles;Hombres;2001;183.520
Total Nacional;;63 años;Españoles;Hombres;2000;203.426
Total Nacional;;63 años;Españoles;Mujeres;2006;195.583
Total Nacional;;63 años;Españoles;Mujeres;2005;180.633
Total Nacional;;63 años;Españoles;Mujeres;2004;227.527
Total Nacional;;63 años;Españoles;Mujeres;2003;153.396
Total Nacional;;63 años;Españoles;Mujeres;2002;176.486
Total Nacional;;63 años;Españoles;Mujeres;2001;200.509
Total Nacional;;63 años;Españoles;Mujeres;2000;228.260
Total Nacional;;63 años;Extranjeros;Hombres;2006;9.996
Total Nacional;;63 años;Extranjeros;Hombres;2005;8.572
Total Nacional;;63 años;Extranjeros;Hombres;2004;7.490
Total Nacional;;63 años;Extranjeros;Hombres;2003;7.014
Total Nacional;;63 años;Extranjeros;Hombres;2002;5.609
Total Nacional;;63 años;Extranjeros;Hombres;2001;4.506
Total Nacional;;63 años;Extranjeros;Hombres;2000;3.786
Total Nacional;;63 años;Extranjeros;Mujeres;2006;10.527
Total Nacional;;63 años;Extranjeros;Mujeres;2005;9.128
Total Nacional;;63 años;Extranjeros;Mujeres;2004;7.905
Total Nacional;;63 años;Extranjeros;Mujeres;2003;7.116
Total Nacional;;63 años;Extranjeros;Mujeres;2002;5.500
Total Nacional;;63 años;Extranjeros;Mujeres;2001;4.258
Total Nacional;;63 años;Extranjeros;Mujeres;2000;3.743
Total Nacional;;64 años;Españoles;Hombres;2006;168.182
Total Nacional;;64 años;Españoles;Hombres;2005;209.778
Total Nacional;;64 años;Españoles;Hombres;2004;136.730
Total Nacional;;64 años;Españoles;Hombres;2003;159.130
Total Nacional;;64 años;Españoles;Hombres;2002;181.250
Total Nacional;;64 años;Españoles;Hombres;2001;201.362
Total Nacional;;64 años;Españoles;Hombres;2000;197.716
Total Nacional;;64 años;Españoles;Mujeres;2006;180.050
Total Nacional;;64 años;Españoles;Mujeres;2005;226.822
Total Nacional;;64 años;Españoles;Mujeres;2004;152.798
Total Nacional;;64 años;Españoles;Mujeres;2003;175.954
Total Nacional;;64 años;Españoles;Mujeres;2002;199.706
Total Nacional;;64 años;Españoles;Mujeres;2001;227.312
Total Nacional;;64 años;Españoles;Mujeres;2000;218.954
Total Nacional;;64 años;Extranjeros;Hombres;2006;9.526
Total Nacional;;64 años;Extranjeros;Hombres;2005;8.879
Total Nacional;;64 años;Extranjeros;Hombres;2004;7.110
Total Nacional;;64 años;Extranjeros;Hombres;2003;6.885
Total Nacional;;64 años;Extranjeros;Hombres;2002;5.319
Total Nacional;;64 años;Extranjeros;Hombres;2001;4.313
Total Nacional;;64 años;Extranjeros;Hombres;2000;3.712
Total Nacional;;64 años;Extranjeros;Mujeres;2006;9.900
Total Nacional;;64 años;Extranjeros;Mujeres;2005;9.276
Total Nacional;;64 años;Extranjeros;Mujeres;2004;7.219
Total Nacional;;64 años;Extranjeros;Mujeres;2003;6.682
Total Nacional;;64 años;Extranjeros;Mujeres;2002;5.081
Total Nacional;;64 años;Extranjeros;Mujeres;2001;4.281
Total Nacional;;64 años;Extranjeros;Mujeres;2000;3.649
Total Nacional;;65 años;Españoles;Hombres;2006;207.641
Total Nacional;;65 años;Españoles;Hombres;2005;135.266
Total Nacional;;65 años;Españoles;Hombres;2004;157.293
Total Nacional;;65 años;Españoles;Hombres;2003;179.491
Total Nacional;;65 años;Españoles;Hombres;2002;198.794
Total Nacional;;65 años;Españoles;Hombres;2001;196.013
Total Nacional;;65 años;Españoles;Hombres;2000;196.526
Total Nacional;;65 años;Españoles;Mujeres;2006;226.245
Total Nacional;;65 años;Españoles;Mujeres;2005;152.445
Total Nacional;;65 años;Españoles;Mujeres;2004;175.303
Total Nacional;;65 años;Españoles;Mujeres;2003;199.362
Total Nacional;;65 años;Españoles;Mujeres;2002;226.314
Total Nacional;;65 años;Españoles;Mujeres;2001;218.475
Total Nacional;;65 años;Españoles;Mujeres;2000;219.487
Total Nacional;;65 años;Extranjeros;Hombres;2006;9.762
Total Nacional;;65 años;Extranjeros;Hombres;2005;8.502
Total Nacional;;65 años;Extranjeros;Hombres;2004;7.003
Total Nacional;;65 años;Extranjeros;Hombres;2003;6.531
Total Nacional;;65 años;Extranjeros;Hombres;2002;5.189
Total Nacional;;65 años;Extranjeros;Hombres;2001;4.204
Total Nacional;;65 años;Extranjeros;Hombres;2000;3.513
Total Nacional;;65 años;Extranjeros;Mujeres;2006;9.975
Total Nacional;;65 años;Extranjeros;Mujeres;2005;8.472
Total Nacional;;65 años;Extranjeros;Mujeres;2004;6.815
Total Nacional;;65 años;Extranjeros;Mujeres;2003;6.230
Total Nacional;;65 años;Extranjeros;Mujeres;2002;5.087
Total Nacional;;65 años;Extranjeros;Mujeres;2001;4.121
Total Nacional;;65 años;Extranjeros;Mujeres;2000;3.475
Total Nacional;;66 años;Españoles;Hombres;2006;133.580
Total Nacional;;66 años;Españoles;Hombres;2005;155.347
Total Nacional;;66 años;Españoles;Hombres;2004;177.073
Total Nacional;;66 años;Españoles;Hombres;2003;196.108
Total Nacional;;66 años;Españoles;Hombres;2002;193.352
Total Nacional;;66 años;Españoles;Hombres;2001;194.173
Total Nacional;;66 años;Españoles;Hombres;2000;202.700
Total Nacional;;66 años;Españoles;Mujeres;2006;151.815
Total Nacional;;66 años;Españoles;Mujeres;2005;174.642
Total Nacional;;66 años;Españoles;Mujeres;2004;198.547
Total Nacional;;66 años;Españoles;Mujeres;2003;225.411
Total Nacional;;66 años;Españoles;Mujeres;2002;217.438
Total Nacional;;66 años;Españoles;Mujeres;2001;218.736
Total Nacional;;66 años;Españoles;Mujeres;2000;227.956
Total Nacional;;66 años;Extranjeros;Hombres;2006;9.363
Total Nacional;;66 años;Extranjeros;Hombres;2005;8.236
Total Nacional;;66 años;Extranjeros;Hombres;2004;6.503
Total Nacional;;66 años;Extranjeros;Hombres;2003;6.389
Total Nacional;;66 años;Extranjeros;Hombres;2002;5.057
Total Nacional;;66 años;Extranjeros;Hombres;2001;4.003
