edad,sexo,año,total
55,hombre,2006,13.622
55,hombre,2005,11.335
55,hombre,2004,9.266
55,mujer,2006,14.839
55,mujer,2005,12.755
55,mujer,2004,10.392
56,hombre,2006,238.588
56,hombre,2005,251.902
56,hombre,2004,230.254
56,mujer,2006,245.888
56,mujer,2005,259.008
56,mujer,2004,236.007
56,hombre,2006,12.241
56,hombre,2005,11.175
56,hombre,2004,9.036
56,mujer,2006,13.68
56,mujer,2005,12.477
56,mujer,2004,10.238
57,hombre,2006,250.749
57,hombre,2005,229.163
57,hombre,2004,219.541
57,mujer,2006,258.764
57,mujer,2005,235.917
57,mujer,2004,227.764
57,hombre,2006,12.223
57,hombre,2005,10.87
57,hombre,2004,8.304
57,mujer,2006,13.664
57,mujer,2005,12.263
57,mujer,2004,9.5
58,hombre,2006,227.888
58,hombre,2005,218.431
58,hombre,2004,231.739
58,mujer,2006,235.78
58,mujer,2005,227.532
58,mujer,2004,241.993
58,hombre,2006,11.984
58,hombre,2005,9.925
58,hombre,2004,7.508
58,mujer,2006,13.463
58,mujer,2005,11.47
58,mujer,2004,8.525
59,hombre,2006,217.087
59,hombre,2005,230.503
59,hombre,2004,218.378
59,mujer,2006,227.291
59,mujer,2005,241.695
59,mujer,2004,229.599
59,hombre,2006,11.065
59,hombre,2005,9.05
59,hombre,2004,7.81
59,mujer,2006,12.691
59,mujer,2005,10.264
59,mujer,2004,8.626
60,hombre,2006,228.968
60,hombre,2005,217.086
60,hombre,2004,216.477
60,mujer,2006,241.352
60,mujer,2005,229.34
60,mujer,2004,226.88
60,hombre,2006,10.001
60,hombre,2005,9.584
60,hombre,2004,7.549
60,mujer,2006,11.18
60,mujer,2005,10.528
60,mujer,2004,8.396
61,hombre,2006,215.467
61,hombre,2005,215.031
61,hombre,2004,185.99
61,mujer,2006,228.987
61,mujer,2005,226.63
61,mujer,2004,196.492
61,hombre,2006,10.657
61,hombre,2005,9.082
61,hombre,2004,7.472
61,mujer,2006,11.669
61,mujer,2005,10.089
61,mujer,2004,8.075
62,hombre,2006,213.183
62,hombre,2005,184.639
62,hombre,2004,171.439
62,mujer,2006,226.176
62,mujer,2005,196.065
62,mujer,2004,180.996
62,hombre,2006,10.09
62,hombre,2005,8.97
62,hombre,2004,7.173
62,mujer,2006,10.982
62,mujer,2005,9.673
62,mujer,2004,7.754
63,hombre,2006,182.951
63,hombre,2005,169.92
63,hombre,2004,211.914
63,mujer,2006,195.583
63,mujer,2005,180.633
63,mujer,2004,227.527
63,hombre,2006,9.996
63,hombre,2005,8.572
63,hombre,2004,7.49
63,mujer,2006,10.527
63,mujer,2005,9.128
63,mujer,2004,7.905
64,hombre,2006,168.182
64,hombre,2005,209.778
64,hombre,2004,136.73
64,mujer,2006,180.05
64,mujer,2005,226.822
64,mujer,2004,152.798
64,hombre,2006,9.526
64,hombre,2005,8.879
64,hombre,2004,7.11
64,mujer,2006,9.9
64,mujer,2005,9.276
64,mujer,2004,7.219
65,hombre,2006,207.641
65,hombre,2005,135.266
65,hombre,2004,157.293
65,mujer,2006,226.245
65,mujer,2005,152.445
65,mujer,2004,175.303
65,hombre,2006,9.762
65,hombre,2005,8.502
65,hombre,2004,7.003
65,mujer,2006,9.975
65,mujer,2005,8.472
65,mujer,2004,6.815
66,hombre,2006,133.58
66,hombre,2005,155.347
66,hombre,2004,177.073
66,mujer,2006,151.815
66,mujer,2005,174.642
66,mujer,2004,198.547
66,hombre,2006,9.363
66,hombre,2005,8.236
66,hombre,2004,6.503
66,mujer,2006,9.091
66,mujer,2005,7.945
66,mujer,2004,6.204
67,hombre,2006,153.104
67,hombre,2005,174.521
67,hombre,2004,193.044
67,mujer,2006,173.821
67,mujer,2005,197.694
67,mujer,2004,223.953
67,hombre,2006,9.006
67,hombre,2005,7.598
67,hombre,2004,6.293
67,mujer,2006,8.389
67,mujer,2005,7.217
67,mujer,2004,5.924
68,hombre,2006,171.534
68,hombre,2005,189.879
68,hombre,2004,187.188
68,mujer,2006,196.645
68,mujer,2005,222.596
68,mujer,2004,214.937
68,hombre,2006,8.214
68,hombre,2005,7.237
68,hombre,2004,5.703
68,mujer,2006,7.631
68,mujer,2005,6.707
68,mujer,2004,5.367
69,hombre,2006,186.399
69,hombre,2005,183.881
69,hombre,2004,184.168
69,mujer,2006,220.979
69,mujer,2005,213.529
69,mujer,2004,214.378
69,hombre,2006,7.689
69,hombre,2005,6.451
69,hombre,2004,5.191
69,mujer,2006,7.01
69,mujer,2005,6.072
69,mujer,2004,4.888
70,hombre,2006,180.229
70,hombre,2005,180.658
70,hombre,2004,188.206
70,mujer,2006,211.836
70,mujer,2005,212.708
70,mujer,2004,221.739
70,hombre,2006,6.823
70,hombre,2005,5.844
70,hombre,2004,4.475
70,mujer,2006,6.239
70,mujer,2005,5.515
70,mujer,2004,4.45
